"ID","Handle","Metafield: title_tag [string]","Metafield: description_tag [string]","Metafield: fixmytoys.bwpid [single_line_text_field]","Metafield: fixmytoys.brand [single_line_text_field]","Metafield: fixmytoys.model [single_line_text_field]","Metafield: fixmytoys.equipmenttype [single_line_text_field]","Metafield: fixmytoys.submodel [single_line_text_field]","Metafield: fixmytoys.year [single_line_text_field]","Metafield: fixmytoys.breadcrumbs [single_line_text_field]","Metafield: fixmytoys.manufacturer [single_line_text_field]"
"171654938705","1985-honda-atc70","1985 Honda ATC70 | Parts and Accessories","IN-STOCK OEM Honda ATV  Parts & Accessories. SAME-DAY Ship on 1985 Honda ATC70 Parts to get You Up and Running again.","1112057,1385631","Honda","ATC70","ATV","ATC70","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,ATC70|collections/1985-honda-atc70",""
"171654512721","1985-arctic-cat-kitty-cat","1985 Arctic Cat Kitty Cat | Parts and Accessories","IN-STOCK OEM Arctic Cat Snowmobile  Parts & Accessories. SAME-DAY Ship on 1985 Arctic Cat Kitty Cat Parts to get You Up and Running again.","1001479,1384798","Arctic Cat","Kitty Cat","Snowmobile","Kitty Cat","1985","1985|pages/oem-parts?brand=Arctic%20Cat&year=1985,Arctic Cat|pages/oem-parts?brand=Arctic%20Cat,Kitty Cat|collections/1985-arctic-cat-kitty-cat",""
"171655594065","1985-honda-nighthawk-700s","1985 Honda Nighthawk 700S | Parts and Accessories","IN-STOCK OEM Honda Street Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda Nighthawk 700S Parts to get You Up and Running again.","1113451,1113452,1360569","Honda","Nighthawk 700S","Street Motorcycle","Nighthawk 21700S","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Nighthawk 700S|collections/1985-honda-nighthawk-700s",""
"171655987281","1985-honda-xl125s","1985 Honda XL125S | Parts and Accessories","IN-STOCK OEM Honda Dual Sport Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda XL125S Parts to get You Up and Running again.","1113489,1113490,1360353","Honda","XL125S","Dual Sport Motorcycle","XL125S","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,XL125S|collections/1985-honda-xl125s",""
"171655299153","1985-honda-fourtrax-250","1985 Honda FourTrax 250 | Parts and Accessories","IN-STOCK OEM Honda ATV  Parts & Accessories. SAME-DAY Ship on 1985 Honda FourTrax 250 Parts to get You Up and Running again.","1112059,1381010","Honda","FourTrax 250","ATV","FourTrax 21A-250J265","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,FourTrax 250|collections/1985-honda-fourtrax-250",""
"171655725137","1985-honda-shadow-1100","1985 Honda Shadow 1100 | Parts and Accessories","IN-STOCK OEM Honda Street Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda Shadow 1100 Parts to get You Up and Running again.","1113481,1373607","Honda","Shadow 1100","Street Motorcycle","1100,Shadow 183-611-002,UU503","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Shadow 1100|collections/1985-honda-shadow-1100",""
"171655462993","1985-honda-interceptor-700","1985 Honda Interceptor 700 | Parts and Accessories","IN-STOCK OEM Honda Street Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda Interceptor 700 Parts to get You Up and Running again.","1113477,1113478,1349697","Honda","Interceptor 700","Street Motorcycle","Interceptor 57228","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Interceptor 700|collections/1985-honda-interceptor-700",""
"171654905937","1985-honda-atc350x","1985 Honda ATC350X | Parts and Accessories","IN-STOCK OEM Honda ATV  Parts & Accessories. SAME-DAY Ship on 1985 Honda ATC350X Parts to get You Up and Running again.","1112056,1381145","Honda","ATC350X","ATV","ATC350X","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,ATC350X|collections/1985-honda-atc350x",""
"171654873169","1985-honda-atc250sx","1985 Honda ATC250SX | Parts and Accessories","IN-STOCK OEM Honda ATV  Parts & Accessories. SAME-DAY Ship on 1985 Honda ATC250SX Parts to get You Up and Running again.","1112055,1388127","Honda","ATC250SX","ATV","ATC250SX","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,ATC250SX|collections/1985-honda-atc250sx",""
"171655954513","1985-honda-xl100s","1985 Honda XL100S | Parts and Accessories","IN-STOCK OEM Honda Dual Sport Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda XL100S Parts to get You Up and Running again.","1113487,1113488,1349058","Honda","XL100S","Dual Sport Motorcycle","XL100S","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,XL100S|collections/1985-honda-xl100s",""
"171655626833","1985-honda-odyssey-350","1985 Honda Odyssey 350 | Parts and Accessories","IN-STOCK OEM Honda ATV  Parts & Accessories. SAME-DAY Ship on 1985 Honda Odyssey 350 Parts to get You Up and Running again.","1381164","Honda","Odyssey 350","ATV","Odyssey 139-350-000","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Odyssey 350|collections/1985-honda-odyssey-350",""
"171655102545","1985-honda-cr500r","1985 Honda CR500R | Parts and Accessories","IN-STOCK OEM Honda Off-road Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda CR500R Parts to get You Up and Running again.","1113457,1364540","Honda","CR500R","Off-road Motorcycle","CR500R","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,CR500R|collections/1985-honda-cr500r",""
"171655921745","1985-honda-v65-sabre","1985 Honda V65 Sabre | Parts and Accessories","IN-STOCK OEM Honda Street Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda V65 Sabre Parts to get You Up and Running again.","1113469,1113470,1346046","Honda","V65 Sabre","Street Motorcycle","V65 Sabre","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,V65 Sabre|collections/1985-honda-v65-sabre",""
